Country Name,Country Code,Series Name,Series Code,1990.1,2000.1,2016.1,2017.1,2018.1,2019.1,2020.1,2021.1,2022.1,2023.1,2024.1,Year,Democracy Index,World region according to OWID,GDP_Growth_Value
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,4.38389195513914,4.97595150553832,0.626149149168846,2.30237251516833,5.60188791482224,5.13320340824962,13.7121023720064,-4.64470870797774,-6.60118564073725,2015.0,2.77,Asia,-1.6650574474901276
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,0.0500181363468103,1.27543168367423,1.98666133171194,2.02805963071134,1.41109078954242,1.6208866171702,2.04147163139544,6.72520271530059,4.75834555150038,2.21587375089991,2015.0,5.91,Europe,3.817434470717629
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,16.6525343885432,0.339163189071768,6.39769480268756,5.59111590961663,4.26999020467083,1.95176821052891,2.41513094083413,7.22606307415477,9.26551551551552,9.32217375928322,4.04611455313434,2015.0,3.95,Africa,1.0996206185960062
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,324.99687160132,30.6944150806719,29.8444799015679,19.628937970152,17.080954143438,22.2715392470509,25.754294884189,21.3552901320822,13.6441017767714,28.2404948915772,2015.0,3.35,Africa,-2.804708183782509
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,34.27722371310032,53.5483043492339,42.01509473765087,48.40937862551991,72.43075753182404,133.4889355941749,219.883929014578,2015.0,7.02,South America,1.6609125384392345
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-0.790883768934757,-1.40360755900899,0.969553268816137,2.52023382001637,1.44344660770698,1.21143577838464,7.1848362944337,8.64091108973854,1.98041877615553,0.269511978259125,2015.0,4.0,Asia,3.515995472570225
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,7.33302368375269,4.45743705920869,1.27699365720306,1.94864309065653,1.91140002818579,1.610770929127,0.846900734607273,2.86391284709318,6.59409658717841,5.59701792296707,3.16656665428797,2015.0,9.01,Oceania,0.7045117997244574
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.26187231878573,2.3448628535728,0.891591752655362,2.08126911385586,1.99837981429548,1.53089564152643,1.38191063351853,2.7666666666667,8.54686993188457,7.81413417002831,2.93791574279375,2015.0,8.54,Europe,0.1742597228213043
Azerbaijan,AZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,1.80500303704356,12.4433748584372,12.9359184187334,2.26854690373999,2.61057182799215,2.75980947008127,6.65029912708778,13.8522590144267,8.7854304984908,2.21217188919901,2015.0,2.71,Asia,-0.1470247601339025
Bahrain,BHR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.929335437489092,-0.704852953090789,2.78679347602044,1.38671830576406,2.08766938046978,1.00582004702136,-2.31770629331378,-0.60631938514085,3.62574104304482,0.0746206782192255,0.919635459817651,2015.0,2.79,Asia,-1.6632927871623906
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.12671846981457,2.20825620937535,5.51352572692995,5.70207015717238,5.54362139486476,5.59199639930629,5.69107474746211,5.54565430773473,7.69695437176898,9.8835030377921,10.4657482763412,2015.0,5.73,Asia,5.604495397324342
Belarus,BLR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,168.620235850933,11.8365807653496,6.03183725177785,4.87230220550689,5.59815595039853,5.5481435745651,9.46028389623105,15.2096752740809,5.00059903091312,5.78531910427998,2015.0,3.62,Europe,-3.957251263650804
Belgium,BEL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.44831217961807,2.544517761909,1.97385264653162,2.12597086002616,2.05316499865177,1.43681956996438,0.740791812220343,2.44024851144084,9.597511728725,4.04901077613941,3.14349136500041,2015.0,7.93,Europe,0.887876358046185
Benin,BEN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,4.16540442290282,-0.793310145785624,0.0432648555103608,0.919170717886053,0.732849371241066,3.02272119663759,1.73353962694035,1.35077863583527,2.73870078406074,1.16093089640415,2015.0,5.72,Africa,-1.1843204375033594
Bhutan,BTN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,10.0118383223406,4.01212081070342,3.21988689395717,4.95508366985129,2.72396386183713,2.72643037388832,5.62936522632507,7.3468144053353,5.6391667139637,4.22934419929251,2.76131569624097,2015.0,4.93,Asia,5.583706034647221
Bolivia,BOL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,17.1187746048239,4.60822998872598,3.62321431764138,2.8227580554717,2.27205987230154,1.83954504969025,0.940742153381849,0.737383721452274,1.74632872945968,2.57688800489192,5.09976568317427,2015.0,5.75,South America,3.278651557872408
Bosnia and Herzegovina,BIH,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,-1.58410000000001,0.810133321953038,1.41710814018033,0.56278215406123,-1.05129600763489,1.98163900587622,14.0208440826771,6.1059011284828,1.69212733599723,2015.0,4.83,Europe,5.656035112012887
Botswana,BWA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,11.3963461199555,8.6014851485149,2.81495791361943,3.30828076768219,3.23801558947715,2.7728644286332,1.8903591682421,7.24097765588442,11.665567478802,5.06761549343829,2.81835131676251,2015.0,7.87,Africa,-6.199954122454926
Brazil,BRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2947.73277248299,7.04414105947265,8.73914352329393,3.44637335032669,3.66485028376728,3.73297621216893,3.21176803803376,8.30165975585673,9.28010608956872,4.59356282283203,4.36746407652336,2015.0,6.96,South America,-4.306397559893156
Bulgaria,BGR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,23.8000000000002,10.3162621289989,-0.798649886453617,2.06159619443141,2.81454473824838,3.10372944796771,1.67244096855756,3.29774435299506,15.3252589264367,9.44284140088564,2.44651943006078,2015.0,7.14,Europe,4.720285840018732
Burkina Faso,BFA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.504303388918912,-0.304212168486802,0.441041448058809,1.48299897161325,1.95594302672532,-3.23338933983321,1.88470066518847,3.65326761825508,14.2902354303358,0.742910428668917,4.19081721344523,2015.0,4.7,Africa,0.8882598277679961
Burundi,BDI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,7.00216956651121,24.4320242102151,5.55768961400965,16.0525353030391,-2.81469807668465,-0.686772170797358,7.3211064341552,8.4045384507634,18.8008786664944,26.9414835762453,20.2124925027847,2015.0,2.49,Africa,-2.6384320779032464
Cabo Verde,CPV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,10.6535057862491,-2.47745668519835,-1.40781637091705,0.784415251101334,1.25615185860785,1.10750930553819,0.6057961856899,1.86215256793885,7.93092928079189,3.72437535861454,1.0481698336865,2015.0,7.81,Africa,0.9226312498579006
Cambodia,KHM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-0.7919925294735668,3.01913975139128,2.912635573714778,2.459085153801459,1.94257500833107,2.940295142639697,2.920734775929485,5.34370264895437,2.127467965941944,0.8080420165366541,2015.0,4.27,Asia,5.652931676093004
Cameroon,CMR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.09938128383608,1.22719012976132,0.874190383288856,0.64040914988195,1.0688581131292,2.45280214062732,2.43760882182236,2.27185762503637,6.24767713343861,7.38281384280983,4.53331349711606,2015.0,3.66,Africa,2.4012336870962088
Canada,CAN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.78047693336304,2.71943995691976,1.42875954701085,1.59688412852976,2.26822567248103,1.94926902411592,0.716999632307827,3.39519318527527,6.80280115341612,3.87900159788425,2.38158383281173,2015.0,9.08,North America,-0.11236916498423
Central African Republic,CAF,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.0123304562272101,3.20340091563112,4.94543276106518,4.18072331871266,1.61215686991555,2.68537355266786,1.71015659523152,4.25936417542868,5.58316735183246,2.97913852618936,1.47733600718743,2015.0,1.57,Africa,4.198780788248115
Chad,TCD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.7382822653109185,3.822600880863059,-0.792440525236102,-1.537099629808404,4.274621986105452,-0.971939175419401,4.464144372328608,-0.7728443703591396,5.788026878436164,10.83635683998429,8.899507322637543,2015.0,1.5,Africa,0.0674074942708955
Chile,CHL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,26.0364811362364,3.84327295706565,3.78619355893118,2.18271846868519,2.43488981353057,2.55754475703326,3.04549084804326,4.52456838259143,11.6438667110559,7.58168251407962,4.29763891572524,2015.0,7.84,South America,1.113704459474647
China,CHN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.05229012075233,0.347811226864586,2.00000182191943,1.59313600071435,2.07479039965576,2.89923416358226,2.41942189457782,0.981015135544881,1.9735755573905,0.23483682889305,0.218128938439177,2015.0,3.14,Asia,6.358550263981044
Colombia,COL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,29.1520245976215,9.22534818585365,7.51346024627674,4.3143132569501,3.24056932930569,3.52301932741446,2.52663500084706,3.49505757399448,10.1772313546166,11.7359044948689,6.60908593728228,2015.0,6.62,South America,2.069232271137267
Comoros,COM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,0.797517430888487,-0.237362224154613,2.15155084413033,3.58213544469211,0.786641929499151,-0.0044179368234698,12.5320314570998,8.37373955490995,5.05192609588218,2015.0,3.71,Africa,-0.9653036828585044
